symbol,y,x1,x2,x3,x4,underwriter,exchange
HAWK,1.019,1.087,250000,1.000,0.151,2-8-18-21,1
HCACU,1.005,1.000,175000,0.800,0.055,30-32,1
HDP,1.015,1.500,150000,0.150,0.145,1-2-10,1
HDS,1.014,1.000,957446,0.289,0.107,1-8-17-19,1
HIIQ,1.018,1.009,65893,1.000,0.097,1-18,1
HLG,1.000,1.071,21435,2.000,0.002,45,1
HMHC,1.140,1.167,255500,0.130,0.071,2-7,1
HMST,1.043,1.068,89132,0.529,0.011,120,1
HQY,1.000,1.429,182000,0.183,0.152,19-37,1
HSGX,1.143,1.032,67068,0.463,0.016,11-41-57,1
HTBX,1.019,1.000,25000,0.411,0.062,69,1
HTGM,1.006,1.000,49980,0.530,0.042,56,1
HZNP,1.022,1.000,49500,0.282,0.019,26-33-41,1
IBTX,1.033,1.154,96000,0.279,0.024,34-35-48,1
ICBK,1.009,1.038,19293,0.215,0.017,39-117,1
ICPT,1.052,1.293,97000,0.318,0.029,8,1
IMDZ,1.044,1.012,60750,0.317,0.048,3-56,1
IMI,1.001,1.000,96500,0.229,0.112,7-19,1
INGN,1.008,1.000,70588,0.244,0.189,19,1
INOV,1.018,1.228,736888,1.000,0.122,2-7-18,1
INSY,1.052,1.062,34000,0.192,0.011,33-37,1
IPDN,1.034,0.991,20816,0.415,0.079,69-253,1
IPWR,1.048,1.050,15750,0.484,0.001,16-134,1
IRG,1.030,1.204,97211,0.233,0.120,1-4-39,1
IRMD,1.127,1.600,20160,0.194,0.035,14,1
ISTR,1.021,1.016,40911,0.422,0.015,34-117,1
ITEK,1.016,1.017,40668,0.420,0.035,4-41,1
IVTY,1.089,1.062,51000,0.315,0.039,4-26-56,1
JAGX,1.000,1.000,20020,0.352,0.023,31-69-92,1
JD,1.043,1.145,2037662,1.000,0.144,8-32,1
JIVE,1.091,1.260,203206,0.228,0.155,2-7,1
JRVR,1.008,1.015,234520,0.385,0.052,31-32-35-120,1
JYNT,1.076,1.018,19860,0.327,0.016,14-94,1
KANG,1.017,1.179,179929,1.000,0.074,8-32,1
KBIO,1.011,1.020,71400,0.363,0.007,56,1
KEYW,1.026,1.030,93730,0.383,0.022,5,1
KIN,1.165,1.250,65625,0.498,0.012,31-92,1
KITE,1.071,1.497,190875,0.203,0.092,1-3-41,1
KMDA,1.055,1.050,54207,0.163,0.054,3-7,1
KMPH,1.039,1.068,59818,0.378,0.034,10-41,1
KPTI,1.069,1.116,121448,0.237,0.131,8-56,1
KRNT,1.083,1.200,85200,0.247,0.049,17-18,1
KTWO,1.015,1.000,132375,0.238,0.083,4-17-37,1
KYTH,1.082,1.156,81356,0.253,0.054,2-19,1
LAND,1.022,1.011,50533,0.548,0.013,27-33,1
LDRH,1.050,1.233,92500,0.221,0.080,4-6,1
LENS,1.008,0.925,38541,0.313,0.150,3,1
LGIH,1.048,1.115,110340,0.464,0.096,19-21-33,1
LIFE,1.018,0.946,71020,0.238,0.148,18-19,1
LMNS,1.055,1.042,78125,0.660,0.115,1-2-3,1
LMRK,1.000,0.987,49687,0.564,0.077,10-38-39,1
LNCO,1.017,1.007,1111687,1.000,0.097,10-17-18-37,1
LNTH,1.078,1.020,66300,0.369,0.019,1-3-10-18-37,1
LOB,1.000,1.088,88800,0.143,0.056,34,1
LOCO,1.044,1.267,135714,0.199,0.209,3-7-39,1
LOXO,1.027,1.005,68768,0.330,0.023,26-41,1
LPLA,1.024,1.102,517479,0.146,0.092,2-7-8-19,1
MACK,1.030,0.893,89375,0.155,0.048,19,1
MB,1.002,1.159,115972,1.000,0.152,1-7-32,1
MBII,1.047,1.083,61750,0.260,0.030,3-4,1
MBUU,1.040,1.236,123571,0.703,0.100,37-38,1
MCEP,1.006,0.986,95850,0.306,0.029,10-37-38,1
MCFT,1.019,1.033,94107,0.353,0.108,37-38-39,1
MCOX,1.057,1.591,205499,0.029,0.137,1-32,1
MCRB,1.147,1.583,211770,0.196,0.120,2-8,1
MCUR,1.000,0.900,48150,0.331,0.058,1-3,1
MDWD,1.087,1.143,80000,0.246,0.143,1-3-31,1
MEMP,1.000,0.995,170100,0.560,0.116,18-37-38,1
MFRM,1.023,1.158,122222,0.168,0.139,6-17-32,1
MGNX,1.068,1.500,120000,0.208,0.121,8-56,1
MIK,1.008,1.000,472222,0.137,0.127,2-19,1
MKTO,1.021,1.538,121190,0.169,0.209,1-2,1
MMYT,1.107,1.571,110000,0.146,0.114,7,1
MOBI,1.167,0.750,43500,0.028,0.145,18,1
MOBL,1.100,1.111,111111,0.149,0.169,2-7-17-21,1
MOKO,1.061,1.100,9075,0.975,0.026,16-70,1
MOLG,1.036,0.860,145125,1.000,0.139,1-18-21-32,1
MOMO,1.087,1.056,228000,1.000,0.150,1-7-19-44,1
MRD,1.023,1.119,909928,0.222,0.117,17-18,1
